School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
I.S. 328 - MANHATTAN,M,6,SCIENCE LAB UPGRADES / PATH OF TRAVEL SCIENCE LAB UPGRADE,1480016,CIP,M164,401 WEST 164 STREET,Manhattan,10029,MANHATTAN,40.792122,-73.951961,111,8,1051497,1016090007,168,MN1101,"(40.792122, -73.951961)"
P.S. 53 - BRONX,X,9,STH- SBHC,2995000,CIP,X053,360 EAST 168 STREET,Bronx,10455,BRONX,40.814031,-73.900609,202,17,2005089,2026830065,83,BX0202,"(40.814031, -73.900609)"
P.S. 95 - QUEENS,Q,29,EXISTING BUILDING/ELECTRICAL SYSTEMS UPGRADE / EXISTING BUILDING/IPDVS / EXISTING BUILDING/FIRE ALARM REPLACEMENT / EXISTING BUILDING-KITCHEN RENOVATION,5879602,CIP,Q095,179-01 90 AVENUE,Queens,11363,QUEENS,40.769271,-73.749369,411,19,4168629,4080820285,1483,QN1103,"(40.769271, -73.749369)"
G MCCOWN EXPEDITIONARY LRNG SCL- R,R,31,FY20 RESO A LIBRARY UPGRADE / FY21 RESO A SCIENCE LAB UPGRADES,1471000,CIP,R043,100 ESSEX DRIVE,Staten Island,10305,STATEN IS,40.582744,-74.088509,502,50,5053746,5037050001,11201,SI0202,"(40.582744, -74.088509)"
P.S. 12 - BROOKLYN,K,23,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING,13700000,CIP,K012,430 HOWARD AVENUE,Brooklyn,11235,BROOKLYN,40.593521,-73.937672,315,48,3203617,3074240001,596,BK1503,"(40.593521, -73.937672)"
BRONX ALLIANCE MIDDLE SCHOOL,X,11,FY24 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,1676000,CIP,X142,3750 BAYCHESTER AVENUE,Bronx,10456,BRONX,40.825025,-73.906143,203,17,2004498,2026320027,18502,BX0301,"(40.825025, -73.906143)"
MARTIN VAN BUREN HS - QUEENS,Q,26,LSP- DOMESTIC WATER HEATER,283150,CIP,Q435,230-17 HILLSIDE AVENUE,Queens,11101,QUEENS,40.751356,-73.937445,401,26,4004874,4004040001,3301,QN0105,"(40.751356, -73.937445)"
P.S. 76 - QUEENS,Q,30,RETAINING WALL,398000,CIP,Q076,36-36 10 STREET,Queens,11434,QUEENS,40.67282,-73.769252,412,28,4270056,4124950166,33405,QN1204,"(40.67282, -73.769252)"
I.S. 562 - BRONX,X,8,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,424999,CIP,X125,1111 PUGSLEY AVENUE,Bronx,10455,BRONX,40.817721,-73.902421,202,17,2005168,2026880001,85,BX0202,"(40.817721, -73.902421)"
K721 SPED - BROOKLYN,K,21,FIRE ALARM SYSTEM REPLACEMENT,2268000,CIP,K722,64 AVENUE X,Brooklyn,11201,BROOKLYN,40.692012,-73.991227,302,33,3002557,3002660020,9,BK0201,"(40.692012, -73.991227)"
P.S. 106 - BROOKLYN,K,32,LSP DOMESTIC WATER HEATER,207825,CIP,K106,1328 PUTNAM AVENUE,Brooklyn,11228,BROOKLYN,40.61978,-74.000792,311,38,3157760,3061800001,190,BK1101,"(40.61978, -74.000792)"
J.H.S. 216 - QUEENS,Q,26,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6000761,CIP,Q216,64-20 175 STREET,Queens,11362,QUEENS,40.759404,-73.731299,411,23,4171759,4082760620,152901,QN1103,"(40.759404, -73.731299)"
P.S. 54 - BROOKLYN,K,13,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,350000,CIP,K054,195 SANDFORD STREET,Brooklyn,11221,BROOKLYN,40.691274,-73.933697,303,36,3043822,3016160001,291,BK0302,"(40.691274, -73.933697)"
BROOKLYN ACADEMY HS - BROOKLYN,K,13,WORK REQUIRED TO OBTAIN A C OF O,9436400,CIP,K458,832 MARCY AVENUE,Brooklyn,11220,BROOKLYN,40.637282,-74.023849,310,47,3144482,3058500030,70,BK1001,"(40.637282, -74.023849)"
"QNS HS OF TEACH., LIB. ARTS&SCI-Q",Q,26,ROOFS / PARAPETS / FIRE ALARM SYSTEM / EXTERIOR MASONRY,14111000,CIP,Q566,74-20 COMMONWEALTH BOULEVARD,Queens,11101,QUEENS,40.743509,-73.929076,402,26,4436685,4002260001,17902,QN0202,"(40.743509, -73.929076)"
I.S. 75 - STATEN ISLAND,R,31,FY17 RESO A GREENHOUSE / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / PAVED AREAS- CONCRETE / ROOFS / FY20 RESO A PLAYGROUND UPGRADE,18932000,CIP,R075,455 HUGUENOT AVENUE,Staten Island,10306,STATEN IS,40.569393,-74.107737,502,50,5055367,5039300010,11204,SI9592,"(40.569393, -74.107737)"
IT TAKES A VILLAGE ACADEMY - K,K,18,SWIMMING POOL,23500000,CIP,K415,5800 TILDEN AVENUE,Brooklyn,11229,BROOKLYN,40.609912,-73.948512,315,48,3182721,3067880001,642,BK1502,"(40.609912, -73.948512)"
I.S. 74 - QUEENS,Q,26,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES / IDA DOMESTIC PIPING / IDA ELECTRICAL SYSTEMS / IDA CLIMATE CONTROL / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS / FLOOD ELIMINATION / FENCING,36365000,CIP,Q074,61-15 OCEANIA STREET,Queens,11434,QUEENS,40.67282,-73.769252,412,28,4270056,4124950166,33405,QN1204,"(40.67282, -73.769252)"
I.S. 391 - BRONX,X,10,IPDVS CAMERA INSTALLATION / FY23 RESO A IPDVS CAMERA INSTALLATION,389000,CIP,X137,2225 WEBSTER AVENUE,Bronx,10456,BRONX,40.823289,-73.907948,203,17,2004469,2026270009,18502,BX0301,"(40.823289, -73.907948)"
P.S. 236 - BROOKLYN,K,22,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,10824,CIP,K236,6302 AVENUE U,Brooklyn,11213,BROOKLYN,40.676094,-73.935688,308,36,3035761,3013470001,309,BK0802,"(40.676094, -73.935688)"
P.S. 44 - STATEN ISLAND,R,31,COVID VENTILATION / COVID VENTILATION- CLIMATE CONTROL,3996000,CIP,R044,80 MAPLE PARKWAY,Staten Island,10308,STATEN IS,40.55258,-74.13706,503,51,5065016,5051060001,13203,SI0302,"(40.55258, -74.13706)"
HS FOR HEALTH CAREER & SCIENCE - M,M,6,SWIMMING POOLS / LOW VOLTAGE ELECTRICAL SYSTEM,21673000,CIP,M465,549 AUDUBON AVENUE,Manhattan,10024,MANHATTAN,40.785803,-73.974614,107,6,1032128,1012150001,169,MN0702,"(40.785803, -73.974614)"
FORDHAM HS FOR THE ARTS - BRONX,X,10,STRUCTURAL ELEMENTS UNDER POOL / PATH OF TRAVEL STRUCTURAL ELEMENTS UNDER POOL / VENTILATION,22333000,CIP,X435,500 EAST FORDHAM ROAD,Bronx,10475,BRONX,40.874088,-73.833904,210,12,2116159,2051410150,46205,BX1004,"(40.874088, -73.833904)"
FAIRMONT NEIGHBORHOOD SCHOOL,X,12,EXTERIOR MASONRY / ROOFS / FLOOD ELIMINATION,5648869,CIP,X050,1550 VYSE AVENUE,Bronx,10458,BRONX,40.864527,-73.887829,207,15,2113630,2032780014,40502,BX0702,"(40.864527, -73.887829)"
P.S. 142 - MANHATTAN,M,1,ROOFS / PARAPETS / EXTERIOR MASONRY,8640000,CIP,M142,100 ATTORNEY STREET,Manhattan,10040,MANHATTAN,40.860412,-73.927936,112,10,1064149,1021730001,283,MN1202,"(40.860412, -73.927936)"
LAMAD ACADEMY CHARTER SCHOOL,K,18,PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE / FY21 RESO A SCIENCE LAB UPGRADE,2981000,CIP,K219,1060 CLARKSON AVENUE,Brooklyn,11234,BROOKLYN,40.613317,-73.938871,318,46,3212254,3077060001,646,BK1802,"(40.613317, -73.938871)"
P.S. 15 - BRONX,X,10,FY23 RESO A GYMNASIUM UPGRADE,347000,CIP,X015,2195 ANDREWS AVENUE,Bronx,10467,BRONX,40.870002,-73.878875,207,11,2086851,2033300001,425,BX0703,"(40.870002, -73.878875)"
I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,K,15,New,66677000,CAP,K004,4012 FORT HAMILTON PARKWAY,Brooklyn,11218,BROOKLYN,40.642578,-73.991388,312,38,,,110,BK1201,"(40.642578, -73.991388)"
P.S. 239 - QUEENS,Q,24,"HVAC COOLING SYSTEM REPLACEMENT
 / CLIMATE CONTROL / FIRE ALARM SYSTEM REPLACEMENT",7760000,CIP,Q239,17-15 WEIRFIELD STREET,Queens,11691,QUEENS,40.60729,-73.7494,414,31,4297972,4155410001,103202,QN1401,"(40.60729, -73.7494)"
SCHOOL OF THE FUTURE - MANHATTAN,M,2,FY24 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,439154,CIP,M660,127 EAST 22 STREET,Manhattan,10004,MANHATTAN,40.692055,-74.01358,101,1,1086435,1000010010,5,MN0191,"(40.692055, -74.01358)"
I.S. 119 - QUEENS,Q,24,ROOFS / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / FIRE ALARM / LL26 EXIT SIGNS / EXTERIOR DOORS,19270344,CIP,Q119,74-01 78 AVENUE,Queens,11436,QUEENS,40.678296,-73.79562,412,28,4260828,4120190010,18402,QN1203,"(40.678296, -73.79562)"
P.S. 29 - BROOKLYN,K,15,LSP WATER BOOSTER PUMP SET REPLACEMENT,120000,CIP,K029,425 HENRY STREET,Brooklyn,11206,BROOKLYN,40.697152,-73.946641,303,36,3048517,3017430018,257,BK0301,"(40.697152, -73.946641)"
P.S. 165 - MANHATTAN,M,3,RPZ BACKFLOW PREVENTION DEVICES,588846,CIP,M165,234 WEST 109 STREET,Manhattan,10034,MANHATTAN,40.866706,-73.923948,112,10,1064900,1022340007,291,MN1203,"(40.866706, -73.923948)"
FORT HAMILTON HS - K,K,20,REPLACE 6' FIRE DOMESTIC WATER MAIN VALVES,594450,CIP,K490,8301 SHORE ROAD,Brooklyn,11204,BROOKLYN,40.620446,-73.981795,312,44,3131537,3055060006,468,BK1204,"(40.620446, -73.981795)"
P.S. 37 - MANHATTAN,M,4,SIDEWALK REPAIR / ROOFS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,17300000,CIP,M045,2351 1 AVENUE,Manhattan,10033,MANHATTAN,40.853466,-73.934048,112,10,1076752,1021670029,271,MN1202,"(40.853466, -73.934048)"
P.S. 70 - BRONX,X,9,IPDVS INSTALLATIONS,331321.7,CIP,X070,1691 WEEKS AVENUE,Bronx,10461,BRONX,40.845787,-73.829829,210,13,2046140,2041710001,26602,BX1003,"(40.845787, -73.829829)"
P.S. 155 - BROOKLYN,K,23,LSP AUDITORIUM UPGRADE,200000,CIP,K155,1355 HERKIMER STREET,Brooklyn,11207,BROOKLYN,40.672579,-73.884803,305,42,3089176,3040150001,1150,BK0502,"(40.672579, -73.884803)"
HS FOR HEALTH PROF & HUMAN SERV-M,M,2,AUDITORIUM UPGRADE / ROOFS / PATH OF TRAVEL AUDITORIUM UPGRADE / PARAPETS / EXTERIOR MASONRY / WINDOWS,27711000,CIP,M475,345 EAST 15 STREET,Manhattan,10065,MANHATTAN,40.765359,-73.960059,108,5,1083343,1014420001,118,MN0801,"(40.765359, -73.960059)"
QUEENS ACADEMY HIGH SCHOOL - Q,Q,25,FY21 RESO A GYMNASIUM UPGRADE,40000,CIP,Q023,138-11 35 AVENUE,Queens,11356,QUEENS,40.778601,-73.843187,407,19,4099925,4042290014,907,QN0701,"(40.778601, -73.843187)"
P.S. 220 - QUEENS,Q,28,EXTERIOR MASONRY,983000,CIP,Q220,62-10 108 STREET,Queens,11434,QUEENS,40.674541,-73.789417,412,28,4261713,4120510001,18401,QN1203,"(40.674541, -73.789417)"
P.S. 107 - BRONX,X,8,EXTERIOR MASONRY / PARAPETS / ROOFS / FLOOD ELIMINATION,5990000,CIP,X107,1695 SEWARD AVENUE,Bronx,10456,BRONX,40.835286,-73.900751,203,15,2009718,2029320001,149,BX0301,"(40.835286, -73.900751)"
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE  -K,K,19,ELECTRICAL WORK FOR A/C INITIATIVE,4510,CIP,K072,605 SHEPHERD AVENUE,Brooklyn,11234,BROOKLYN,40.621224,-73.91287,318,46,3236496,3083880002,69602,BK1802,"(40.621224, -73.91287)"
P.S. 134 - QUEENS,Q,29,WATER PENETRATION / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / PARAPETS,24888000,CIP,Q134,203-02 109TH AVENUE,Queens,11412,QUEENS,40.698279,-73.752654,412,27,4236757,4110180021,520,QN1205,"(40.698279, -73.752654)"
P.S. 183 - QUEENS,Q,27,FY19 RESO A PLAYGROUND / PATH OF TRAVEL RESO A PLAYGROUND,979000,CIP,Q183,2-45 BEACH 79 STREET,Queens,11375,QUEENS,40.722707,-73.851699,406,29,4075214,4031720002,71305,QN0602,"(40.722707, -73.851699)"
P.S. 199 - BROOKLYN,K,21,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,13572000,CIP,K199,1100 ELM AVENUE,Brooklyn,11208,BROOKLYN,40.666417,-73.876563,305,42,3098664,3044770001,1116,BK0503,"(40.666417, -73.876563)"
P.S. 284 - BROOKLYN,K,23,SWIMMING POOL / FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / EXTERIOR DOORS / FLOOD ELIMINATION / PATH OF TRAVEL SWIMMING POOL,27211000,CIP,K284,213 OSBORN STREET,Brooklyn,11221,BROOKLYN,40.695362,-73.915142,304,37,3076460,3033430001,433,BK0402,"(40.695362, -73.915142)"
P.S. 306 - BRONX,X,10,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,715000,CIP,X306,40 WEST TREMONT AVENUE,Bronx,10456,BRONX,40.827642,-73.904473,203,17,2004526,2026340001,135,BX0301,"(40.827642, -73.904473)"
P.S. 83 - BRONX,X,11,ROOFS / MECHANICAL EQUIPMENT REPLACEMENT / EXTERIOR MASONRY / PARAPETS / ROOFS,21441000,CIP,X083,950 RHINELANDER AVENUE,Bronx,10453,BRONX,40.857689,-73.908349,205,14,2094683,2032070040,251,BX0501,"(40.857689, -73.908349)"
P.S. 329 - BROOKLYN,K,21,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,378850,CIP,K329,2929 WEST 30 STREET,Brooklyn,11212,BROOKLYN,40.672462,-73.906552,316,37,3083608,3036930001,908,BK1602,"(40.672462, -73.906552)"
P.S. 333 - QUEENS,Q,27,ROOFS / EXTERIOR MASONRY / PARAPETS,8331000,CIP,Q198,3-65 BEACH 56 STREET,Queens,11367,QUEENS,40.736653,-73.813346,408,24,4146992,4067920100,122702,QN0802,"(40.736653, -73.813346)"
HERBERT H. LEHMAN HS - X,X,8,AUDITORIUM UP0GRADE,1050000,CIP,X405,3000 EAST TREMONT AVENUE,Bronx,10467,BRONX,40.875953,-73.86197,212,12,2057045,2046330040,372,BX1201,"(40.875953, -73.86197)"
EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,K,15,Lease,15400000,CAP,K280,500 19 STREET,Brooklyn,11215,BROOKLYN,40.656944,-73.983115,307,39,3017307,3008890001,1502,BK0701,"(40.656944, -73.983115)"
P.S. 6 - STATEN ISLAND,R,31,EXTERIOR MASONRY,2455056,CIP,R006,555 PAGE AVENUE,Staten Island,10310,STATEN IS,40.631211,-74.127065,501,49,5006175,5002270024,141,SI0106,"(40.631211, -74.127065)"
P.S. 333 - MANHATTAN,M,3,WALK-IN REFRIGERATORS AND FREEZERS,543700,CIP,M118,154 WEST 93 STREET,Manhattan,10027,MANHATTAN,40.810431,-73.955809,109,7,1059526,1019640012,20901,MN0901,"(40.810431, -73.955809)"
P.S. 81 - BROOKLYN,K,16,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,4993919,CIP,K081,990 DEKALB AVENUE,Brooklyn,11224,BROOKLYN,40.578255,-73.979628,313,47,3196558,3072660040,350,BK1302,"(40.578255, -73.979628)"
I.S. 234 - BROOKLYN,K,22,PARAPETS / WINDOWS / EXTERIOR MASONRY,9978000,CIP,K234,1875 EAST 17 STREET,Brooklyn,11224,BROOKLYN,40.578188,-73.99203,313,47,3188221,3069650140,330,BK1302,"(40.578188, -73.99203)"
P.S. 219 - BROOKLYN,K,18,BOILER REPLACEMENT,3256000,CIP,K860,9517 KINGS HIGHWAY,Brooklyn,11226,BROOKLYN,40.648585,-73.957282,314,40,3338996,3051030093,794,BK1701,"(40.648585, -73.957282)"
P.S. 20 - STATEN ISLAND,R,31,ROOFS / EXTERIOR MASONRY / PARAPETS,3843919,CIP,R020,161 PARK AVENUE,Staten Island,10308,STATEN IS,40.546081,-74.14584,503,51,5065854,5051530108,13203,SI0302,"(40.546081, -74.14584)"
P.S. 98 - MANHATTAN,M,6,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT: / PATH OF TRAVEL-OTHER TEMP STRUCTURE REMOVAL,2547000,CIP,M098,512 WEST 212 STREET,Manhattan,10029,MANHATTAN,40.795146,-73.948368,111,8,1051584,1016140021,17401,MN1101,"(40.795146, -73.948368)"
I.S. 109 - QUEENS,Q,29,ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE / ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,587000,CIP,Q109,213-10 92 AVENUE,Queens,11385,QUEENS,40.705516,-73.862208,405,32,4094055,4038460040,637,QN0503,"(40.705516, -73.862208)"
JAMES BALDWIN SCHOOL - MANHATTAN,M,2,DEFECTIVE POOL FOUNDATION WALLS,17668000,CIP,M440,351 WEST 18 STREET,Manhattan,10040,MANHATTAN,40.855855,-73.92712,112,10,1076751,1021600018,277,MN1202,"(40.855855, -73.92712)"
P.S. 62 - QUEENS,Q,27,LSP DOMESTIC WATER HEATER REPLACEMENT,148607.82,CIP,Q062,97-25 108 STREET,Queens,11417,QUEENS,40.67641,-73.846773,410,32,4190727,4091550025,54,QN1002,"(40.67641, -73.846773)"
P.S. 273 - BROOKLYN,K,19,FULL PROGRAM ACCESSIBILITY,10424400,CIP,K273,923 JEROME STREET,Brooklyn,11229,BROOKLYN,40.60665,-73.939176,315,46,3239889,3084960100,666,BK1891,"(40.60665, -73.939176)"
P.S. 127 - QUEENS,Q,30,LSP- DOMESTIC HOT WATER HEATER,191011.57,CIP,Q127,98-01 25 AVENUE,Queens,11426,QUEENS,40.731729,-73.717859,413,23,4175739,4086160001,157101,QN1302,"(40.731729, -73.717859)"
P.S. 185 - BROOKLYN,K,20,COVID VENTILATION,1209512,CIP,K185,8601 RIDGE BOULEVARD,Brooklyn,11224,BROOKLYN,40.577217,-74.000194,313,47,3188726,3070060001,328,BK1302,"(40.577217, -74.000194)"
P.S. @ 760 EAST GUN HILL ROAD - BRONX,X,84,Lease,0,CAP,X511,760 EAST GUN HILL ROAD,Bronx,11220,BROOKLYN,40.649042,-74.012289,307,38,3011821,3007550022,80,BK0702,"(40.649042, -74.012289)"
P.S. 40 - QUEENS,Q,28,ROOF REPLACEMENT / WINDOWS,13678000,CIP,Q040,109-20 UNION HALL STREET,Queens,11691,QUEENS,40.593834,-73.76174,414,31,4467711,4158200001,99802,QN1401,"(40.593834, -73.76174)"
P.S. 146 - BRONX,X,8,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,398000,CIP,X146,968 CAULDWELL AVENUE,Bronx,10454,BRONX,40.813785,-73.92032,201,8,2097038,2023060054,43,BX0101,"(40.813785, -73.92032)"
Q811 SPED - QUEENS,Q,29,FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT / FULL PROGRAM ACCESSIBILITY,13821000,CIP,Q822,114-36 202ND STREET,Queens,11368,QUEENS,40.750246,-73.867825,403,21,4043936,4017610035,40902,QN0303,"(40.750246, -73.867825)"
SUNSET PARK AVENUES ELEMENTARY SCHOOL - BROOKLYN,K,15,New,47695598,CAP,K557,4308 4 AVENUE,Brooklyn,11220,BROOKLYN,40.638773,-74.019612,307,38,3429067,3058097501,122,BK0703,"(40.638773, -74.019612)"
BRONX LAB SCHOOL - BRONX,X,11,EXTERIOR MASONRY / PARAPETS / WINDOWS / ROOFS / FLOOD ELIMINATION,49990000,CIP,X425,800 EAST GUN HILL ROAD,Bronx,10468,BRONX,40.870293,-73.898309,207,11,2015241,2032470070,409,BX0702,"(40.870293, -73.898309)"
NEVINS DAY CARE CENTER,K,15,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,2220167,CIP,KBGZ,460 ATLANTIC AVENUE,Brooklyn,10038,MANHATTAN,40.71276,-73.997489,103,1,1003375,1002790040,27,MN0301,"(40.71276, -73.997489)"
SALVATION ARMY SUTTER DAY CARE,K,23,ACS EARLY LEARN LEASE IMPROVEMENT,677000,CIP,KBDD,20 SUTTER AVENUE,Brooklyn,11224,BROOKLYN,40.573588,-73.992855,313,47,3339183,3070520034,342,BK1302,"(40.573588, -73.992855)"
P.S. 195/196 - BRONX,X,12,Demo,2382877.88,CAP,X077,1260 WARD AVENUE,Bronx,10457,BRONX,40.852167,-73.899074,205,15,,,379,BX0502,"(40.852167, -73.899074)"
FIORELLO LAGUARDIA HS - MANHATTAN,M,3,RPZ BACKFLOW PREVENTION DEVICES / FIRE SPRINKLER SYSTEM,1997798,CIP,M485,100 AMSTERDAM AVENUE,Manhattan,10023,MANHATTAN,40.774351,-73.984753,107,6,1030343,1011570025,15101,MN0701,"(40.774351, -73.984753)"
CITY-AS-SCHOOL - MANHATTAN,M,2,IPDVS INSTALLATIONS,210000,CIP,M641,16 CLARKSON STREET,Manhattan,10128,MANHATTAN,40.783638,-73.945626,111,8,1083927,1016680001,15602,MN1101,"(40.783638, -73.945626)"
P.S. 115 - BROOKLYN,K,18,FY23 RESO A LIBRARY UPGRADE,280000,CIP,K115,1500 EAST 92 STREET,Brooklyn,11206,BROOKLYN,40.700609,-73.93834,304,34,3071806,3031370026,389,BK0401,"(40.700609, -73.93834)"
P.S. 197 - MANHATTAN,M,5,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,644500,CIP,M197,2230 5TH AVENUE,Manhattan,10040,MANHATTAN,40.860806,-73.930661,112,10,1076756,1021720016,285,MN1202,"(40.860806, -73.930661)"
BAYSIDE HIGH SCHOOL - QUEENS,Q,26,FY25 RESO A IPDVS CAMERA INSTALLATION / FY25 RESO A IPDVS CAMERA INSTALLATION,451000,CIP,Q405,32-24 CORPORAL KENNEDY STREET,Queens,11364,QUEENS,40.752333,-73.75599,411,23,4161735,4075290001,138501,QN1102,"(40.752333, -73.75599)"
P.S. 161 - QUEENS,Q,28,FY23 RESO A IPDVS CAMERA INSTALLATION,218010.97,CIP,Q161,101-33 124TH STREET,Queens,11106,QUEENS,40.757309,-73.926733,401,26,4008220,4006100001,57,QN0103,"(40.757309, -73.926733)"
P.S. 152 - MANHATTAN,M,6,WALK-IN REFRIGERATORS AND FREEZERS,531684,CIP,M152,93 NAGLE AVENUE,Manhattan,10035,MANHATTAN,40.797302,-73.936365,111,8,1052986,1016890005,188,MN1102,"(40.797302, -73.936365)"
LONG ISLAND CITY H.S.,Q,30,FY24 RESO A ELECTRICAL UPGRADE,373000,CIP,Q452,14-30 BROADWAY,Queens,11373,QUEENS,40.741122,-73.874721,404,25,4045629,4018490001,461,QN0401,"(40.741122, -73.874721)"
P.S. 146 - QUEENS,Q,27,FY24 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,546000,CIP,Q146,98-01 159 AVENUE,Queens,11104,QUEENS,40.745537,-73.923776,402,26,4002387,4001850001,18101,QN0202,"(40.745537, -73.923776)"
I.S. 202 - QUEENS,Q,27,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,8212500,CIP,Q202,138-30 LAFAYETTE STREET,Queens,11364,QUEENS,40.754201,-73.760636,411,23,4161005,4074820317,138501,QN1102,"(40.754201, -73.760636)"
NEW DORP HS - STATEN ISLAND,R,31,PARAPETS / EXTERIOR MASONRY / ROOFS,29474103,CIP,R435,465 NEW DORP LANE,Staten Island,10306,STATEN IS,40.567873,-74.115373,502,50,5107621,5042440001,134,SI0202,"(40.567873, -74.115373)"
X168 SPED - BRONX,X,10,FY20 RESO A IPDVS CAMERA INSTALLATION / IPDVS CAMERA INSTALLATION / FY24 RESO A IPDVS CAMERA INSTALLATION,634712.48,CIP,X020,3050 WEBSTER AVENUE,Bronx,10455,BRONX,40.812619,-73.906063,201,8,2004772,2026640001,79,BX0102,"(40.812619, -73.906063)"
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,X,7,WALK-IN REFRIGERATORS AND FREEZERS,595000,CIP,X183,339 MORRIS AVENUE,Bronx,10453,BRONX,40.851815,-73.91118,205,14,2098721,2028620014,217,BX0501,"(40.851815, -73.91118)"
BROOKLYN TECH HS - K,K,13,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,24193000,CIP,K430,29 FT GREENE PLACE,Brooklyn,11211,BROOKLYN,40.712184,-73.939722,301,34,3325733,3030160001,485,BK0104,"(40.712184, -73.939722)"
HS FOR ARTS & TECHNOLOGY - M,M,3,CAFETERIA UPGRADE / AHU REPLACEMENT,8995000,CIP,M490,122 AMSTERDAM AVENUE,Manhattan,10035,MANHATTAN,40.807383,-73.939433,111,9,1054156,1017520022,206,MN1102,"(40.807383, -73.939433)"
P.S. 137 - BROOKLYN,K,23,FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT,19137000,CIP,K137,121 SARATOGA AVENUE,Brooklyn,11216,BROOKLYN,40.67438,-73.951443,308,36,3330794,3012330026,31701,BK0802,"(40.67438, -73.951443)"
P.S. 80 - STATEN ISLAND,R,31,REINFORCING SUPPORT ELEMENTS,2245000,CIP,R880,715 OCEAN TERRACE,Staten Island,10460,BRONX,40.840755,-73.881707,206,15,2010892,2030050010,359,BX0601,"(40.840755, -73.881707)"
P.S. 123 - QUEENS,Q,27,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1082000,CIP,Q123,145-01 119 AVENUE,Queens,11377,QUEENS,40.741131,-73.918945,402,26,4052874,4022840006,23502,QN0202,"(40.741131, -73.918945)"
M.S. 282 - QUEENS,Q,27,PAVED AREAS CONCRETE- SIDEWALKS & COURTYARD,2555000,CIP,Q465,8-21 BAY 25 STREET,Queens,11432,QUEENS,40.713218,-73.797237,408,24,4448806,4098580100,452,QN0805,"(40.713218, -73.797237)"
P.S. 158 - BROOKLYN,K,19,STRUCTURAL DEFECTS,497001,CIP,K158,400 ASHFORD STREET,Brooklyn,11237,BROOKLYN,40.707229,-73.919805,304,34,3073018,3032120001,445,BK0401,"(40.707229, -73.919805)"
"HERO HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPAT",X,7,STH SBHC,2918000,CIP,X655,455 SOUTHERN BOULEVARD,Bronx,10453,BRONX,40.856573,-73.916202,205,14,2118366,2032220100,249,BX0501,"(40.856573, -73.916202)"
